=== Episode 1 ===
Initial: [  0.   0. -20.]
Goal: [-17.84715925 -11.18560509 -49.12206317]
Positions:
[  0.06972387   0.06320564 -19.92193471]
[ -7.89829326  -3.9268387  -42.82395058]
[ -7.94010951  -3.9391655  -42.89730789]
[ -7.9600497   -3.91407915 -42.9389709 ]
[ -7.9619      -3.91052549 -43.01519563]
[ -8.00832022  -3.91320863 -43.08656612]
[ -7.99935066  -3.89292441 -43.15067718]
[ -8.02058878  -3.8903105  -43.20239862]
[ -8.04556054  -3.89055791 -43.24443784]
[ -8.06486465  -3.88391257 -43.32000759]
[ -8.09002684  -3.85017197 -43.37567871]
[ -8.10225369  -3.85855561 -43.41151162]
[ -8.14925032  -3.86155032 -43.50057906]
[ -8.22837717  -3.88241762 -43.52163416]
[ -8.24908399  -3.91304342 -43.59291997]
[ -8.32479659  -3.90752516 -43.64258227]
[ -8.38113282  -3.91104922 -43.67578638]
[ -8.46033396  -3.94090004 -43.722177  ]
[ -8.54361214  -3.97158477 -43.78931686]
[ -8.59961361  -3.95986904 -43.84216486]
[ -8.68014716  -3.97210103 -43.89175181]
[ -8.73072194  -4.02063986 -43.92601464]
[ -8.79924163  -4.00980946 -44.00151066]
[ -8.88207321  -4.02870127 -44.03977211]
[ -8.94374339  -4.04877692 -44.07590105]
[ -9.01954048  -4.04745442 -44.11198573]
[ -9.0901329   -4.08035918 -44.16310009]
[ -9.13202111  -4.06641051 -44.25277545]
[ -9.21401483  -4.0969826  -44.29022625]
[ -9.27027041  -4.07415572 -44.34761731]
[ -9.3323399   -4.11174796 -44.38154221]
[ -9.40301801  -4.10982641 -44.41824683]
[ -9.50559096  -4.08971663 -44.46434285]
[ -9.58927711  -4.08737764 -44.51518687]
[ -9.65577148  -4.08854239 -44.60204258]
[ -9.69605845  -4.06648067 -44.63391506]
[ -9.792785    -4.08389677 -44.65394438]
[ -9.83193617  -4.09470738 -44.71636643]
[ -9.90924287  -4.06499307 -44.74734184]
[ -9.98658724  -4.06452174 -44.80138   ]
[-10.04864432  -4.04681484 -44.86356089]
[-10.16436571  -4.05388795 -44.90504073]
[-10.21228008  -4.02614243 -44.9737783 ]
[-10.26846113  -4.00039041 -45.0434598 ]
[-10.33576719  -4.00542164 -45.07839446]
[-10.4085819   -3.99555783 -45.11790524]
[-10.51156926  -3.97676321 -45.18245313]
[-10.54380513  -3.93682157 -45.20542523]
[-10.61029302  -3.95388629 -45.23012318]
[-10.70607364  -3.94065897 -45.31138497]
[-10.78448274  -3.89948234 -45.32898844]
[-10.81504622  -3.88526346 -45.3881727 ]
[-10.88270664  -3.85446256 -45.43307821]
[-10.98499053  -3.80378119 -45.47274838]
[-11.04366155  -3.82202564 -45.52812955]
[-11.09233022  -3.76905302 -45.59955552]
[-11.15919002  -3.76061712 -45.64911965]
[-11.18030813  -3.73503111 -45.65629638]
[-11.26335545  -3.73552982 -45.72021476]
[-11.31109207  -3.7196975  -45.78537497]
[-11.36755037  -3.6708501  -45.80568411]
[-11.43715357  -3.64780533 -45.86235584]
[-11.46562148  -3.62067367 -45.88723   ]
[-11.52128069  -3.59578322 -45.95490727]
[-11.58292243  -3.57484215 -46.00746674]
[-11.61562155  -3.52267952 -46.02511519]
[-11.69089836  -3.49734109 -46.09098265]
[-11.7503512   -3.46311743 -46.11555659]
[-11.79457583  -3.47481854 -46.1781531 ]
[-11.8250854   -3.45163704 -46.19831288]
[-11.87372074  -3.39263332 -46.27476566]
[-11.92318304  -3.37207287 -46.29773135]
[-12.00100869  -3.35181778 -46.34998777]
[-12.0090837   -3.30540962 -46.38278045]
[-12.06728869  -3.30680548 -46.43093934]
[-12.11202911  -3.24564057 -46.48500056]
[-12.16777276  -3.22538636 -46.52336959]
[-12.18765754  -3.16447413 -46.52740747]
[-12.23265701  -3.15261363 -46.59843837]
[-12.26682884  -3.12096367 -46.63312403]
[-12.32417191  -3.06034864 -46.69342379]
[-12.36339776  -3.04058023 -46.72726741]
[-12.37721089  -3.01558358 -46.76586164]
[-12.44501614  -2.97055925 -46.81043393]
[-12.45101296  -2.93413376 -46.82626175]
[-12.49722675  -2.8995705  -46.88058866]
[-12.5305684   -2.88552214 -46.91990074]
[-12.56798268  -2.84754976 -46.96406299]
[-12.57614289  -2.85635327 -46.97393619]
[-12.59671467  -2.78798819 -47.02981753]
[-12.66774974  -2.74855422 -47.08506798]
[-12.68497488  -2.72794706 -47.09155114]
[-12.71863368  -2.70189319 -47.13223971]
[-12.75679526  -2.69331084 -47.19446531]
[-12.80341599  -2.62840384 -47.25649011]
[-12.80028892  -2.60529304 -47.26502231]
[-12.81716094  -2.56806555 -47.31759017]
[-12.84686071  -2.58006168 -47.31402077]
[-12.90037253  -2.53861972 -47.3227931 ]
[-12.91819575  -2.525818   -47.33725561]
